tweetId,Tweet,Username,screenName,User_Location,Bio,createdDateTime,verificationStatus,favouritesCount,followersCount,friendsCount
1399721019590463491,"RT @OluwaDibia: We move again  #June12Protest we have done it in #EndSars 
We do it again 
Buhari must go 
Massive retweet https://t.co/TGW…",maestitches,Egbuniwe2,,simple but complicated in my doings.,2021-06-01 13:34:31,False,36,5,11
1399721018491604996,RT @YemieFASH: I am currently live on @breez919fm’s office of the citizen programme to discuss the general overview of the #EndSars protest.,GAJI OLOYE 🤫,MrGaji,Nigeria,I'm gentle man /Arsenal fans 😈 🔴🔉⚽ live my life conveniently without difficulty | oladejii6@gmail.com,2021-06-01 13:34:31,False,115224,2544,2251
1399721006990868482,"RT @iamseunalaofin: It’s a new month but we remember the pigeon who saw everything at the #EndSARS protest ground.

#June12protest all we a…",LeftFooted Maestro,emm_hazee,,Here to laugh and retweet #Humanitarian #GodFirst #MumNext #KidsLover #GGMU,2021-06-01 13:34:28,False,45039,1546,1881
1399720991086022661,RT @papillon_lilas_: She arrested me during the #EndSARS protests and told me she could have me beaten or killed and nothing will happen. S…,Queen Esta,Esta_ice,Nigeria,"Advocate of peace,website publisher, God's most favoured daughter, Ambassador of love.",2021-06-01 13:34:24,False,47523,843,718
1399720945561055238,RT @SaharaReporters: Policewoman Who Shot Sowore Threatened To Waste Me During #EndSARS Protest—Nigerian Man | Sahara Reporters https://t.c…,Mazi Uzonna Ernest Onyeka,UzonnaErnest,"Palma, Spain",human without origin is like a tree without roots Biafra is my root and origin,2021-06-01 13:34:13,False,14493,4068,5001
1399720942645956609,"RT @iamseunalaofin: It’s a new month but we remember the pigeon who saw everything at the #EndSARS protest ground.

#June12protest all we a…",YOUR CAC REGISTRATION PLUG,JLERONLIMITED,"Lagos, Nigeria","We are dedicated to helping Nigerians or foreigners who wish to do business in Nigeria register their business name, company,NGO,trademark,STRESS FREE click👇🏾",2021-06-01 13:34:12,False,2189,418,375
1399720883703500804,"Who ordered the shooting of #EndSARS protesters at Lekki toll gate on 20/10/2020?

#LekkiMassacre",nafeeu,nafeezi,roving....,to exist is to resist..... never be a spectator of injustice,2021-06-01 13:33:58,False,17894,20541,75
1399720828342837261,"RT @OluwaDibia: We move again  #June12Protest we have done it in #EndSars 
We do it again 
Buhari must go 
Massive retweet https://t.co/TGW…",Adunbarinsire,modupe_fashola,,"God.
🔶 me🔶 wilson 🔶family🔶 fashion🔶 colours 🔶 oceans🔶music🔶 parties🔶food🔶wine🔶 vodka 🔶love",2021-06-01 13:33:45,False,958,103,130
1399720731940954115,RT @SaharaReporters: Policewoman Who Shot Sowore Threatened To Waste Me During #EndSARS Protest—Nigerian Man | Sahara Reporters https://t.c…,mechi mechi,mechioba,,Biafra is our last hope,2021-06-01 13:33:22,False,63642,1021,516
1399720667445141506,"RT @iamseunalaofin: It’s a new month but we remember the pigeon who saw everything at the #EndSARS protest ground.

#June12protest all we a…",your grandfather,john_eleos,,"🔸 Blockchain solutions
🔸Software developer
🔸AI enthusiast
🔸Creative thinker
🔸Health solutions
🔸CTO @TalosAfrica
🔸Cruise and Money",2021-06-01 13:33:07,False,7299,1002,1772
1399720656816807936,"RT @iamseunalaofin: It’s a new month but we remember the pigeon who saw everything at the #EndSARS protest ground.

#June12protest all we a…",Alakotmedia,alakotmedia,"Lagos,  Nigeria","UI/UX


Graphic design",2021-06-01 13:33:04,False,13534,2199,2582
1399720654409191430,"RT @OluwaDibia: We move again  #June12Protest we have done it in #EndSars 
We do it again 
Buhari must go 
Massive retweet https://t.co/TGW…",🌸demmy🌸,demmydae,Nigeria,"I love jongdae💗


🌸fanaccount 🌸",2021-06-01 13:33:04,False,95142,243,192
1399720642681966593,"RT @Yincar: @oloye__ You think Tinubu's biggest stain is EndSARS. No mention of his thievery, greed and amassing wealth at the detriment of…",Aito Robert👑🍁,the_treenity,"Yaba left, I didn't","NOT:::
1. Perfect
2. Fake
3. You
8. Me
4. That interesting
5. A brezz guy🌹
9. ty
6. Just okay
7. A human being
0. As holy as you act",2021-06-01 13:33:01,False,31376,3133,3116
1399720475463462915,"RT @funny_aquila: Guess you remember him ...?
 Don't just say anything Just retweet for them to see 😥

#June12Protest 
#BuhariMustGo 
#Revo…",Big Smoke✌️,077Praiz,My house,"I’m just a boy, standing in front of the world, asking you to follow me.",2021-06-01 13:32:21,False,2541,93,206
1399720475211751426,To those of us who missed #EndSARS rally #June12Protest is our time to walk the talk...we move,Ebun_ti_oluwa🥰🥰,EbunoluwaFlore3,"Lagos, Nigeria","I dey catch cruise 🤣.... forget 🥰
holy thug😜
Sept 2
ig @ebun_ti_oluwa",2021-06-01 13:32:21,False,1137,28,37
1399720364041773076,RT @papillon_lilas_: She arrested me during the #EndSARS protests and told me she could have me beaten or killed and nothing will happen. S…,iSpy a crochet designer 🧶,__ayodamola,around,•Crochet •Food •Money and vibes.,2021-06-01 13:31:54,False,19309,2929,2182
1399720358220120070,RT @papillon_lilas_: She arrested me during the #EndSARS protests and told me she could have me beaten or killed and nothing will happen. S…,Honourary Scouser 🔴,diqzyl,,#LFC  #YNWA    Son of a praying Mother,2021-06-01 13:31:53,False,18308,386,727
1399720336078344201,RT @neduokoyee: During endsars protest this guy drag tinubu and the rest to d mud and said how a failure he is today nigga is writing threa…,Olanrewaju,LanreHkn,MOON WEST SIDE,Cruise Vibes Violence,2021-06-01 13:31:48,False,73175,1894,1028
